,name,country,years active,proven victims,possible victims,notes,pov rate,density
14,Samuel Little,United States,1970 to 2005,60,93,"Was convicted of killing three women, but later investigations linked 31 other murders to him. Little is now thought to be America's most prolific serial killer. He claimed he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.",0.1689999999999999,34.560
15,Giuseppe Greco,Italy,1981 to 1983,58,80-300,"During the Second Mafia War, from 1981 to 1983 committed dozens of murders, often with his favorite weapon, an AK-47. He was eventually convicted in absentia of 58 murders, but it is believed that he committed at least 80 murders and possibly as many as 300. Murdered in his home in 1985.",0.1376666666666667,203.410
21,Willy Pickton,Canada,1983 to 2002,49,49,"Nicknamed ""The Butcher""; Robert Pickton was a Canadian serial killer who killed 49 women and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped. Sentenced to life.",0.1063333333333333,3.870
22,Gary Ridgway,United States,1982 to 2000,49,71–90+,"Truck painter who confessed to killing 71 women. Also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49. Sentenced to life without parole.",0.1689999999999999,34.560
33,Vera Renczi,Romania,1920 to 1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"" convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.",0.173,86.790
35,Vera Renczi,Hungary,1920 to 1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"" convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.",0.0886666666666666,109.330
36,Ted Bundy,United States,1974 to 1978,35,36–100+,"American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989.",0.1689999999999999,34.560
37,Clementine Barnabet,United States,1911,35,35,An axe murdering voodoo priestess who murdered African-American families at nighttime. Was released in 1923.,0.1689999999999999,34.560
38,John Wayne Gacy,United States,1972 to 1978,33,34+,"Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.",0.1689999999999999,34.560
43,Fernando Hernández Leyva,Mexico,1982 to 1999,33,100+,"Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 murders and sentenced 50 years in prison. Tried unsuccessfully to kill himself in prison. If his claim of 100+ victims were true then Leyva would be Mexico's most prolific documented serial killer.",0.1625,62.930
46,Karl Denke,Germany,1900 to 1924,30,42+,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Committed suicide by hanging himself in his holding cell before he could be tried.",0.1035,231.310
52,Mariam Soulakiotis,Greece,1939 to 1951,27,27+,"Known as ""The Woman Rasputin""; convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. Her trial cites that she murdered 27 and killed an additional 150 children through neglect. Was sentenced to life and died in 1954.",0.122,85.590
53,Bruce George Peter Lee,United Kingdom,1973 to 1979,26,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.",0.1176666666666666,264.940
55,Juan Corona,United States,1971,25,25+,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.,0.1689999999999999,34.560
56,Fritz Haarmann,Germany,1918 to 1924,24,27+,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925.",0.1035,231.310
57,Béla Kiss,Hungary,1912 to 1916,24,24+,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count.",0.0886666666666666,109.330
59,Yvan Keller,France,1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.",0.0845,120.590
60,Yvan Keller,Germany,1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.",0.1035,231.310
61,Yvan Keller,Switzerland,1989 to 2006,23,150,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.",0.102,204.510
62,Ronald Dominique,United States,1997 to 2006,23,23+,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms.",0.1689999999999999,34.560
64,Earle Nelson,United States,1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.",0.1689999999999999,34.560
65,Earle Nelson,Canada,1926 to 1927,22,25,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928.",0.1063333333333333,3.870
70,Patrick Kearney,United States,1965 to 1977,21,43+,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.",0.1689999999999999,34.560
71,William Bonin,United States,1979 to 1980,21,36+,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996.",0.1689999999999999,34.560
72,Vasile Tcaciuc,Romania,1917 to 1935,21,26+,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.,0.173,86.790
74,Francisco Guerrero Pérez,Mexico,1880 to 1908,21,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.",0.1625,62.930
80,Larry Eyler,United States,1982 to 1984,19,23+,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.",0.1689999999999999,34.560
82,El Psicópata,Costa Rica,1986 to 1996,19,19+,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.",0.204,95.420
87,Ansis Kaupēns,Latvia,1920 to 1926,19,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.,0.1665,32.380
90,Yavuz Yapıcıoğlu,Turkey,1994 to 2002,18,40+,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.,0.147,97.360
91,Paul John Knowles,United States,1974,18,35+,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents.",0.1689999999999999,34.560
92,Thierry Paulin,France,1984 to 1987,18,21,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.",0.0845,120.590
93,Randall Woodfield,United States,1979 to 1981,18,44,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life.",0.1689999999999999,34.560
101,Donato Bilancia,Italy,1997 to 1998,17,17,"Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life.",0.1376666666666667,203.410
103,Randy Steven Kraft,United States,1971 to 1983,16,65–67,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death.",0.1689999999999999,34.560
105,Michel Fourniret,France,1987 to 2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.,0.0845,120.590
106,Michel Fourniret,Belgium,1987 to 2001,16,19,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.,0.0786666666666666,369.720
109,Jeffrey Dahmer,United States,1978 to 1991,16,17,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.,0.1689999999999999,34.560
110,José Antonio Rodríguez Vega,Spain,1987 to 1988,16,16+,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002.",0.1476666666666666,93.520
114,Robert Lee Yates,United States,1975 to 1998,16,16,"Killed prostitutes in the ""Skid Row"" area of E. Sprague Avenue in Spokane, Washington. Sentenced to 408 years in prison and two death sentences.",0.1689999999999999,34.560
115,Carroll Cole,United States,1948 to 1980,16,16,"Killed 16 people in California, Nevada, Texas. Executed by lethal injection in 1985.",0.1689999999999999,34.560
116,Charles Ray Hatcher,United States,1969 to 1982,16,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; committed suicide by hanging himself in prison in 1984.",0.1689999999999999,34.560
122,Atlanta Ripper,United States,1911,15,21,"Unidentified serial killer(s) who killed at least 15 Atlanta women in 1911, possibly as many as 21 in total.",0.1689999999999999,34.560
123,Robert Hansen,United States,1980 to 1983,15,21,"Prostitutes he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 15 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014.",0.1689999999999999,34.560
124,Ángel Maturino Reséndiz,United States,1986 to 1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.",0.1689999999999999,34.560
125,Ángel Maturino Reséndiz,Mexico,1986 to 1999,15,18,"Known as the ""Railroad Killer"" because his killings were committed near the railroad tracks he used to traverse the country. He was charged with and/or confessed to 15 murders occurring from 1986 to 1999 in Texas, Florida, Illinois, Georgia, and Kentucky. He was also suspected in a 1997 California murder case and claimed two additional killings he refused to elaborate on. Executed by lethal injection in 2006.",0.1625,62.930
126,Chester Turner,United States,1987 to 1998,15,15+,Convicted of killing 15 people in Los Angeles in the 1980s and 1990s. Sentenced to death.,0.1689999999999999,34.560
130,Maurizio Minghella,Italy,1978 to 2001,15,15,"Killed five prostitutes; imprisoned and released, after which he killed 10 more; sentenced to life imprisonment.",0.1376666666666667,203.410
132,Carl Eugene Watts,United States,1974 to 1982,14,80+,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.",0.1689999999999999,34.560
134,Zdzisław Marchwicki,Poland,1964 to 1970,14,21+,"Also known as Vampire of Zagłębie. Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.",0.0943333333333333,125.830
135,Monster of Florence,Italy,1968 to 1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.",0.1376666666666667,203.410
136,Joachim Kroll,Germany,1955 to 1976,14,,"Known as the ""Ruhr Cannibal"" and ""The Duisburg Man-Eater""; died from a heart attack in prison in 1991.",0.1035,231.310
137,Arthur Shawcross,United States,1972 to 1989,14,,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing again a year later, targeting prostitutes. Known as the ""Genesee River Killer"", ""Genesee River Strangler"", ""Rochester Strangler"", and ""Monster of the Rivers"", he strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",0.1689999999999999,34.560
138,The Doodler,United States,1974 to 1975,14,,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.",0.1689999999999999,34.560
145,Jake Bird,United States,1930s to 1947,13,44,Sentenced to death for the murders of two people; confessed to 44 other murders; 11 were substantiated and he was suspected in the others. Executed by hanging in 1949.,0.1689999999999999,34.560
146,Belle Gunness,United States,1900? to 1908?,13,40+,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown.",0.1689999999999999,34.560
147,Cleveland Torso Murderer,United States,1934 to 1938,13,40+,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.",0.1689999999999999,34.560
148,Kaspars Petrovs,Latvia,2003,13,38+,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",0.1665,32.380
149,Richard Ramirez,United States,1984 to 1985,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles. Known as the ""Night Stalker"". Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.",0.1689999999999999,34.560
151,Peter Sutcliffe,United Kingdom,1975 to 1980,13,15,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he would never be released. In 2015, he was declared ""no longer mentally ill"", and transferred to a maximum security prison.",0.1176666666666666,264.940
154,Herbert Mullin,United States,1972 to 1973,13,,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.",0.1689999999999999,34.560
155,Boston Strangler,United States,1962 to 1964,13,,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.",0.1689999999999999,34.560
156,Lorenzo Gilyard,United States,1977 to 1993,13,,"Known as ""The Kansas City Strangler"". Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.",0.1689999999999999,34.560
157,Joseph James DeAngelo,United States,1979 to 1986,13,,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him.",0.1689999999999999,34.560
169,Adolf Seefeldt,Germany,1908 to 1935,12,100,"Known as the ""Sandman""; sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total. Executed by guillotine in 1936.",0.1035,231.310
170,Donald Henry Gaskins,United States,1953 to 1982,12,31–80+,"Known as ""The Meanest Man in America"", Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991.",0.1689999999999999,34.560
171,William Suff,United States,1986 to 1992,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.",0.1689999999999999,34.560
174,Maury Travis,United States,2000 to 2002,12,17,Killed prostitutes in the St. Louis area from 2000 to 2002. Caught when he mailed an Expedia.com map showing where to find a body to a St. Louis newspaper. Committed suicide by hanging in prison.,0.1689999999999999,34.560
175,Dennis Nilsen,United Kingdom,1978 to 1983,12,15–16,"Picked up young men in London between 1978 and 1983 and dismembered them, keeping various body parts around his home. Died from surgical complications in 2018.",0.1176666666666666,264.940
176,Kenneth Bianchi,United States,1977 to 1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.",0.1689999999999999,34.560
184,Joseph Christopher,United States,1980 to 1981,12,,"Known as ""The Midtown Slasher""; racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.",0.1689999999999999,34.560
185,"""Paraquat murders"" killer",Japan,1985,12,,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,0.157,349.290
186,Enriqueta Martí,Spain,c.1900 to 1912,12,Unknown,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.",0.1476666666666666,93.520
187,Herb Baumeister,United States,1990 to 1996,11–16,25+,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.,0.1689999999999999,34.560
188,John Bunting,Australia,1992 to 1999,11,,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.,0.125,3.010
191,Juana Barraza,Mexico,late 1990s to 2006,11,29–49,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.,0.1625,62.930
193,Jack Unterweger,Austria,1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.",0.0966666666666666,102.830
194,Jack Unterweger,United States,1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.",0.1689999999999999,34.560
195,Jack Unterweger,Czech Republic,1974 to 1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.",0.0566666666666666,136.240
196,Vaughn Greenwood,United States,1964 to 1975,11,13,"Known as the ""Skid Row Slasher"". Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.",0.1689999999999999,34.560
197,Benjamin Atkins,United States,1991 to 1992,11,,"Known as ""The Woodward Corridor Killer"". Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.",0.1689999999999999,34.560
198,Nannie Doss,United States,1927 to 1954,11,,"Responsible for 11 deaths between 1927 and 1954. Known as the ""Giggling Nanny"", the ""Giggling Granny"", and the ""Jolly Black Widow"". Sentenced to imprisonment for life. Died of leukemia in 1965, age 59.",0.1689999999999999,34.560
199,Clifford Olson,Canada,1980 to 1981,11,,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011.",0.1063333333333333,3.870
200,Henri Désiré Landru,France,1915 to 1919,11,Unknown,"Nicknamed ""Bluebeard"", he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.",0.0845,120.590
201,West Mesa Killer,United States,2003 to 2005,11,,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.",0.1689999999999999,34.560
202,Anthony Sowell,United States,2007 to 2009,11,Unknown,"Known as The Cleveland Strangler, he was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.",0.1689999999999999,34.560
203,Andre Crawford,United States,1993 to 1999,11,,Murdered 11 women between 1993 and 1999. Sentenced to life in prison.,0.1689999999999999,34.560
204,Francisco García Escalero,Spain,1987 to 1994,11,,"Known as ""The Killer Beggar"". A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994. Died in 2014.",0.1476666666666666,93.520
206,Adnan Çolak,Turkey,1992 to 1995,11,,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,0.147,97.360
207,Seisaku Nakamura,Japan,1938 to 1942,11,,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having been born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.",0.157,349.290
212,Marie Alexandrine Becker,Belgium,1933 to 1936,11,,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,0.0786666666666666,369.720
215,Rudolf Pleil,Germany,1946 to 1947,10,25,"Known as Der Totmacher (""The Deadmaker""). Convicted of killing a salesman and nine women. Claimed to have killed 25. Committed suicide by hanging in 1958.",0.1035,231.310
216,Milton Johnson,United States,1983,10,17,"Known as ""The Weekend Murderer"" killed up to 17 people. Sentenced to life without parole.",0.1689999999999999,34.560
